student_id,name,department,year,attendance_percentage,average_marks,performance
101,Rahul Sharma,CSE,3,100.0,81.66666666666667,Good
102,Priya Singh,CSE,3,66.66666666666666,90.0,Excellent
103,Aman Verma,ECE,2,66.66666666666666,69.66666666666667,Average
104,Neha Gupta,IT,4,66.66666666666666,91.33333333333333,Excellent
105,Rohit Kumar,CSE,2,66.66666666666666,71.66666666666667,Good
106,Anjali Singh,IT,3,66.66666666666666,86.0,Excellent
107,Arjun Mehta,ECE,4,66.66666666666666,67.66666666666667,Average
108,Simran Kaur,CSE,4,100.0,93.0,Excellent
109,Vivek Sharma,IT,2,66.66666666666666,78.33333333333333,Good
110,Pooja Verma,ECE,3,66.66666666666666,82.0,Good
